name	class	tier	description
Sejuani	Guild - Cavalier	B	Sejuani swings her mace wide, hitting all enemies in a cone for Health magic damage  maximum Health). She quickly strikes again, repeating the damage on her target and the enemy directly behind it and stunning them for 2 seconds.
Elise	Whispers - Shapeshifter	B	Elise transforms into Spider Form for the rest of combat, reducing her Attack Range to 1 and replacing her ability with Venomous Bite, which she immediately casts. Venomous Bite: Elise's next attack deals 225/275/325 bonus magic damage. If this kills her target she ascends, becoming untargetable before dropping near the lowest Health enemy and immediately casting Venomous Bite again.
Shi Oh Yu	Jade - Mystic - Dragon	B	Shi Oh Yu enters Jade stance, gaining 0/0/1% damage reduction, immunity to crowd control, and empowering her next 3 attacks with special effects that deal damage (265/290/1000% Attack Damage AD). Attack 1: Deals physical damage and knocks the target into the air for 1 seconds. Attack 2: Deals true damage. Attack 3: Ends the stance, dealing physical damage to all enemies in a line and knocking them up for 1 seconds.
Jinx	Revel - Cannoneer	B	Jinx summons a line of traps centered on her target. Traps detonate after a brief delay, dealing 250/400/600 magic damage and stunning enemies hit for 2 second(s). Jinx gains 25 mana for each empty trap.
Hecarim	Ragewing - Cavalier	B	Hecarim summons spectral riders that charge through his target, dealing 150/250/1000 magic damage and stunning enemies hit for 2/2/8 seconds.
Nidalee	Astral - Shapeshifter	B	Nidalee transforms into Cougar Form for the rest of combat, reducing her Attack Range to 1 and gaining bonus movement speed and Attack Speed. While in cougar form, every 3rd attack swipes her target for physical damage (2% Attack Damage AD).
Taric	Jade - Guardian	B	Taric grants himself and his closest ally a protective rune that increases Armor by 30/60/120 for 6 seconds.
Tristana	Trainer - Cannoneer	C	Tristana fires up to 2 explosive charges, prioritizing the closest targets without a charge. Charges detonate after 1 seconds, dealing physical damage (1/2/2% Attack Damage AD) to nearby enemies and an additional 130/160/200 magic damage to the target.
Gnar	Jade - Shapeshifter	C	Gnar transforms into Mega Form, jumping to his target and knocking up nearby enemies for 1 second. Gnar also gains Attack Damage and 40/50/75 Armor, but reduces his Attack Range to 1.
Shen	Ragewing - Bruiser - Warrior	C	Shen creates a zone around himself for 3/3/4 seconds, in which all nearby allies dodge physical damage. While it's active, Shen gains Magic Resist.
Braum	Scalescorn - Guardian	C	Braum puts up his shield for 4 seconds, reducing his damage taken from that direction by 1.
Ezreal	Tempest - Swiftshot	C	Ezreal fires an energy bolt towards his target. The first enemy hit takes 175/225/300 magic damage and grants Ezreal bonus Attack Speed, stacking up to 5 times.
Daeja	Mirage - Dragon	C	Passive: Daeja's attacks launch three barrages that each deal 25/40/150 bonus magic damage and reduce the target's Magic Resist by 5. Active: Daeja sends a wind blast toward the largest group of enemies, dealing 300/400/1800 magic damage.
Vladimir	Astral - Mage	C	Vladimir deals 275/325/375 magic damage to the target and heals for 270/300/330 Health.
Skarner	Astral - Bruiser	C	Skarner shields himself for 300/360/420 for 8 seconds, and gains 2% Attack Speed while it holds.
Xayah	Ragewing - Swiftshot	C	For 4 seconds, whenever Xayah attacks she fires a feather behind her target and 2/2/4 nearby enemies. At the end of this duration Xayah recalls her feathers, dealing 8/16/60 physical damage (0% Attack Damage AD +) per feather to enemies struck.
Tahm Kench	Revel - Bruiser	C	Tahm Kench shields himself for 240/250/275 + 0% maximum Health for 6 seconds. The next 3 enemy attacks he receives during this duration deal 75/100/125 magic damage to the attacker.
Ryze	Guild - Mage	C	Ryze hurls 1 arcane orb at his target, dealing magic damage (180/260/420%AP maximum Mana Mana). Each cast increases his maximum Mana by 20 and the number of orbs thrown by 1.
Lillia	Scalescorn - Cavalier - Mage	C	Lillia strikes a small area around her target's current location, dealing 215/275/350 magic damage spread amongst all enemies hit and 215/275/350 bonus magic damage to the enemy at the center of the blast.
Anivia	Jade - Evoker - Legend	C	Anivia summons a prismatic storm around her target, dealing 325/475/750 magic damage over 3 seconds. Enemies in the storm have their Magic Resist reduced by 40%.
Yone	Mirage - Warrior	C	Passive: Yone's attacks alternate between dealing 90/150/225 bonus magic damage and dealing bonus physical damage (33% Attack Damage AD).
Nunu & Willump	Mirage - Cavalier	C	Nunu encourages Willump to bite his target, dealing 350/500/800 magic damage. If Willump's target has less Health than he does before the bite, it deals an additional 0% damage and becomes true damage.
Senna	Ragewing - Cannoneer	C	Senna launches black mist toward the farthest enemy, striking the first enemy hit and dealing physical damage (200% Attack Damage AD) on a small area and an additional magic damage to the target hit.
Leona	Mirage - Guardian	D	Leona creates a barrier around herself, reducing all incoming damage by 30/40/60 for 4 seconds.
Karma	Jade - Dragonmancer	D	Karma fires a burst of energy towards her target, dealing 220/300/380 magic damage in a small area around the first enemy hit.
Ashe	Jade - Dragonmancer - Swiftshot	D	Ashe fires a volley of 6 arrows. Enemies hit take 125/175/225 magic damage and suffer 30% reduced Attack Speed for 3 seconds.
Lee Sin	Tempest - Dragonmancer	D	Lee Sin kicks his target, stunning them for 2 seconds and knocking them back. The target and all enemies they hit take 280/360/480 magic damage.
Idas	Shimmerscale - Dragon - Guardian	D	Idas hardens her scales for 2 seconds, reducing incoming damage by 35/55/300. She then roars, healing herself for 450/600/3000 Health and shielding other allies for 180/275/2000 for 5 seconds. The shield grants 0% Attack Speed while it holds.
Swain	Ragewing - Dragonmancer - Shapeshifter	D	Swain transforms into Dragon Form, replacing his attacks with fireballs that deal 65/105/165 magic damage and replacing his Ability with Greater Fireball. Greater Fireball: Swain's next fireball deals 100% more damage and explodes in an area around his target.
Sett	Ragewing - Dragonmancer	D	For the next 4 seconds, Sett gains 50/60/80 Armor and Magic Resist, and every other punch deals bonus physical damage (2% Attack Damage AD).
Kayn	Ragewing - Shimmerscale - Assassin	D	Kayn sweeps his scythe in a line through his target, dealing physical damage (3% Attack Damage AD) to all enemies and an additional 90/150/275 magic damage to the first enemy hit.
Volibear	Shimmerscale - Dragonmancer - Legend	D	Volibear rages, gaining 375/650/1200 bonus Health. For the rest of combat, every 3rd attack deals 110/160/225 magic bonus magic damage to the target, and 110/160/225 magic damage to up to 4 additional enemies.
Aatrox	Shimmerscale - Warrior	D	Aatrox strikes his target for physical damage (275/305/385% Attack Damage AD) and heals himself for 300/350/400.
